coordinator_id,coordinator_name,municipality,fiscal_year,jul,aug,sep,oct,nov,dec,jan,feb,mar,apr,may,jun,annual_total
C-001,Maria Santos,Bolinao,2020-21,23,26,29,33,30,27,22,25,28,30,32,26,331
C-002,Carlos Reyes,Bolinao,2020-21,19,22,24,27,25,22,18,21,23,26,26,22,275
C-003,Elena Navarro,Bolinao,2020-21,16,18,20,23,21,19,15,18,19,22,22,18,231
C-004,Jose Dela Cruz,Lingayen,2020-21,16,18,21,23,21,19,15,17,19,22,23,18,232
C-005,Patricia Mendoza,Lingayen,2020-21,14,15,17,19,18,16,13,14,16,18,18,15,193
C-006,Lina Aquino,Bani,2020-21,9,10,11,13,11,10,8,9,10,12,13,10,126
C-007,Ramon Florendo,Bani,2020-21,7,8,10,11,10,9,6,8,9,10,11,8,107
C-008,Pedro Lim,Alaminos,2020-21,13,14,16,18,17,15,12,14,15,17,18,14,183
C-009,Sofia Torres,Alaminos,2020-21,11,13,14,16,14,13,10,12,13,14,15,13,158
C-010,Ana Cruz,Dasol,2020-21,21,24,26,30,27,25,20,22,26,28,30,24,303
C-011,Miguel Bautista,Dasol,2020-21,18,20,22,25,22,21,17,19,22,24,25,20,255
C-012,Rosa Garcia,Infanta,2020-21,18,20,22,26,23,21,17,18,22,24,26,20,257
C-013,Benjamin Santos,Infanta,2020-21,14,17,18,21,18,17,14,15,18,20,21,17,210
C-014,Tomas Bautista,San Fabian,2020-21,11,13,14,16,14,13,10,11,14,15,16,13,160
C-015,Imelda Flores,San Fabian,2020-21,10,10,12,14,12,11,9,10,11,13,14,10,136
C-001,Maria Santos,Bolinao,2021-22,25,28,31,35,31,29,24,26,30,32,34,28,353
C-002,Carlos Reyes,Bolinao,2021-22,20,23,26,29,26,24,20,22,25,27,28,23,293
C-003,Elena Navarro,Bolinao,2021-22,17,20,21,25,22,20,16,19,20,23,24,20,247
C-004,Jose Dela Cruz,Lingayen,2021-22,17,20,22,25,22,20,16,18,20,23,25,20,248
C-005,Patricia Mendoza,Lingayen,2021-22,14,16,18,20,19,17,14,15,17,19,20,16,205
C-006,Lina Aquino,Bani,2021-22,9,10,12,14,12,11,8,9,11,13,14,10,133
C-007,Ramon Florendo,Bani,2021-22,8,8,10,12,10,9,7,8,9,11,12,8,112
C-008,Pedro Lim,Alaminos,2021-22,14,15,17,20,18,16,13,14,16,18,20,15,196
C-009,Sofia Torres,Alaminos,2021-22,12,14,14,17,15,14,11,13,14,15,16,14,169
C-010,Ana Cruz,Dasol,2021-22,22,26,28,31,29,26,21,24,27,30,31,26,321
C-011,Miguel Bautista,Dasol,2021-22,19,21,24,26,24,22,18,20,23,26,26,21,270
C-012,Rosa Garcia,Infanta,2021-22,19,21,24,27,25,22,18,20,23,26,27,21,273
C-013,Benjamin Santos,Infanta,2021-22,15,18,20,22,20,18,14,16,19,21,22,18,223
C-014,Tomas Bautista,San Fabian,2021-22,12,14,15,17,15,14,11,12,14,16,17,14,171
C-015,Imelda Flores,San Fabian,2021-22,10,11,13,14,13,12,9,10,12,14,14,11,143
C-001,Maria Santos,Bolinao,2022-23,26,30,32,37,33,31,25,28,32,34,36,30,374
C-002,Carlos Reyes,Bolinao,2022-23,22,24,27,31,28,25,21,23,26,29,30,24,310
C-003,Elena Navarro,Bolinao,2022-23,18,21,22,26,23,22,17,20,22,24,25,21,261
C-004,Jose Dela Cruz,Lingayen,2022-23,18,21,23,26,23,22,17,19,22,24,26,21,262
C-005,Patricia Mendoza,Lingayen,2022-23,15,17,19,22,20,18,14,16,18,20,21,17,217
C-006,Lina Aquino,Bani,2022-23,10,11,13,14,13,12,9,10,12,14,14,11,143
C-007,Ramon Florendo,Bani,2022-23,8,9,11,13,11,10,7,9,10,12,13,9,122
C-008,Pedro Lim,Alaminos,2022-23,14,16,18,21,19,17,14,15,17,19,21,16,207
C-009,Sofia Torres,Alaminos,2022-23,13,14,15,18,16,14,12,14,14,16,17,14,177
C-010,Ana Cruz,Dasol,2022-23,23,27,30,33,31,28,22,25,29,32,33,27,340
C-011,Miguel Bautista,Dasol,2022-23,20,22,25,28,25,23,19,22,24,27,28,22,285
C-012,Rosa Garcia,Infanta,2022-23,20,22,25,29,26,23,19,21,24,27,29,22,287
C-013,Benjamin Santos,Infanta,2022-23,16,19,21,23,21,19,15,17,20,22,23,19,235
C-014,Tomas Bautista,San Fabian,2022-23,13,14,16,18,16,14,12,13,15,17,18,14,180
C-015,Imelda Flores,San Fabian,2022-23,11,12,14,15,14,13,10,11,13,14,15,12,154
C-001,Maria Santos,Bolinao,2023-24,28,31,34,39,35,32,27,29,33,36,38,31,393
C-002,Carlos Reyes,Bolinao,2023-24,23,26,28,32,29,27,22,25,28,30,31,26,327
C-003,Elena Navarro,Bolinao,2023-24,19,22,24,28,25,23,18,21,23,26,27,22,278
C-004,Jose Dela Cruz,Lingayen,2023-24,19,22,25,28,25,23,18,20,23,26,28,22,279
C-005,Patricia Mendoza,Lingayen,2023-24,16,18,20,23,21,19,15,17,19,21,22,18,229
C-006,Lina Aquino,Bani,2023-24,10,11,13,15,13,12,10,10,12,14,15,11,146
C-007,Ramon Florendo,Bani,2023-24,9,10,11,13,11,10,8,10,10,12,13,10,127
C-008,Pedro Lim,Alaminos,2023-24,15,17,19,22,20,18,14,16,18,20,22,17,218
C-009,Sofia Torres,Alaminos,2023-24,13,15,16,19,17,15,12,14,15,17,18,15,186
C-010,Ana Cruz,Dasol,2023-24,25,28,31,35,32,29,24,27,30,33,35,28,357
C-011,Miguel Bautista,Dasol,2023-24,21,24,27,29,27,25,20,23,26,28,29,24,303
C-012,Rosa Garcia,Infanta,2023-24,21,24,27,30,28,25,20,22,26,28,30,24,305
C-013,Benjamin Santos,Infanta,2023-24,17,20,22,25,22,20,16,18,21,24,25,20,250
C-014,Tomas Bautista,San Fabian,2023-24,13,15,17,19,17,15,12,13,16,18,19,15,189
C-015,Imelda Flores,San Fabian,2023-24,11,12,14,16,14,13,10,11,13,15,16,12,157
C-001,Maria Santos,Bolinao,2024-25,29,33,36,41,37,34,28,31,35,38,40,33,415
C-002,Carlos Reyes,Bolinao,2024-25,24,27,30,34,31,28,23,26,29,32,33,27,344
C-003,Elena Navarro,Bolinao,2024-25,20,23,25,29,26,24,19,22,24,27,28,23,290
C-004,Jose Dela Cruz,Lingayen,2024-25,20,23,26,29,26,24,19,21,24,27,29,23,291
C-005,Patricia Mendoza,Lingayen,2024-25,17,19,21,24,22,20,16,18,20,22,23,19,241
C-006,Lina Aquino,Bani,2024-25,11,12,14,16,14,13,10,11,13,15,16,12,157
C-007,Ramon Florendo,Bani,2024-25,9,10,12,14,12,11,8,10,11,13,14,10,134
C-008,Pedro Lim,Alaminos,2024-25,16,18,20,23,21,19,15,17,19,21,23,18,230
C-009,Sofia Torres,Alaminos,2024-25,14,16,17,20,18,16,13,15,16,18,19,16,198
